gene,N,intercept,slope,min x,max x,R2,
TIMP1,18,-20857.675579235394,867980.6481568597,0.011904762,0.136375523,0.770265098434,
CCL7,16,-40561.92869717316,8690817.335050443,0.010416667,0.04519345599999999,0.219958680027,
SRGN,22,168911.5087680244,1395398.4836637513,0.42019458,2.88305547,0.749823938741,
IL1A,22,274143.37026429316,5085170.350043146,0.037078705,0.943258312,0.500113076476,
SERPINA3G,21,-5869.979243720278,354921.56762911123,0.012771111000000002,0.16467922599999998,0.555723771198,
TAP1,21,-983.5349870633227,29244.508907058607,0.052117248,0.6852723909999999,0.765791557033,
SLAMF7,24,6403.30832850025,264524.7270183778,0.19476823399999998,1.651418492,0.700949686281,
IFIT1,20,39462.00422125601,476558.6921695254,0.010477435,1.5718059530000001,0.721892073973,
CISH,22,-6652.748021425963,232358.03248115914,0.025298162000000003,0.888013333,0.722009199318,
FAS,24,-8593.259330671419,267712.4036834665,0.066857763,0.450783073,0.518874504691,
CXCL10,20,-1960796.5946225114,24726462.874474287,0.010468379,1.113183793,0.83299730983,
SLFN5,19,-5482.686094406978,50069.30977903867,0.060440075,1.13543089,0.873698836474,
SLC2A6,24,-6227.755380758346,112556.9291790962,0.047916956,0.790589401,0.475972820267,
CMPK2,21,-15138.405522825808,264216.71309180075,0.010416667,1.003594714,0.778294052687,
PCGF5,20,2320.4313104551984,55161.75455519107,0.040642662,0.319954079,0.154699951891,
CAR13,20,-2031.8471297006454,71531.60888998026,0.02626124,0.411297993,0.487329014918,
GBP3,21,-5362.222896011481,117481.64555758417,0.018139784,0.583567493,0.745143949618,
UBE2L6,23,-920.7535619852861,210842.0389092671,0.039450441,0.7923431679999999,0.67268299471,
MX2,19,33.57400613846767,74696.85264365915,0.010416667,0.40711076,0.720982586566,
ZDHHC21,24,51935.090025456404,-70839.98422729263,0.025728455,1.049486379,0.249025792701,
AK138792,24,802097.8046390095,-898285.524696109,0.016942919,1.344034951,0.217775184848,
CH25H,20,-6232.194493454474,418063.41054067767,0.011984238999999999,0.139943025,0.536886880051,
PTGS2,20,-2420.3752769494313,114576.51846943152,0.010993993999999998,0.43088386100000003,0.820570535738,
SAMHD1,23,-12730.869207420546,75582.08437475961,0.16925641,1.52240987,0.548407393877,
SDC4,22,10647.986076691886,4675537.969801961,0.08742674199999999,0.651686827,0.189477683992,
ADAP2,22,489.9075888594416,40691.40427128173,0.024470432,0.45191508799999996,0.431670614629,
MS4A6D,22,-29481.772996913205,487764.9407181034,0.10845036400000001,0.8918671290000001,0.709197822765,
ATF3,21,-810.8195088575449,158441.07871476543,0.15044937,0.9391296140000001,0.387334741669,
TNFSF15,22,-9019.974212090114,182304.85401086666,0.020791971,1.117775769,0.83832385273,
RELA,23,8102.638240438786,22111.137537723487,0.09184593199999999,0.426242495,0.0479893205203,
ZFP36,24,-5836.689152617488,85624.02345370901,0.157702665,0.821023147,0.481793556277,
SLFN2,22,77324.65682895374,163578.4757989462,0.251168782,2.151474414,0.369268910881,
GM12250,21,-539.0460056244974,33984.74919878676,0.010416667,1.101648786,0.919309118891,
STAT1,23,1792.6967477656435,34667.88675134526,0.021280955,0.822501402,0.73079460654,
BIRC3,24,6728.171775937246,54451.03723672295,0.066271759,0.430875081,0.12600330336,
1190002H23RIK,22,6433.825629316067,129818.98993254435,0.011459056,0.25066841300000003,0.148887081084,
ALDH1A2,22,6016.3845112553845,189476.3823648597,0.013649237,0.144405151,0.119505428638,
OASL2,20,-1625.769270003937,83287.07306162943,0.010908093999999998,0.799784334,0.734479278862,
IL27,17,-2041.0859307882947,166221.68925936412,0.014253492,0.193931405,0.400567298735,
H1F0,24,3930.0236756735976,154197.66559239328,0.092569402,0.878545888,0.422189086177,
CCL2,23,156763.82208902366,5163279.760056005,0.014888005,0.330197393,0.15469826984,
DDX58,24,-1155.3542925002093,34753.399953101645,0.021045277,0.671578618,0.774913972719,
GBP5,21,-284.9017610247938,35367.17357312901,0.014602501,1.042890368,0.760455535151,
CAV1,23,11042.413881045395,235129.61174207064,0.016454053,0.7885143170000001,0.589205610142,
NMI,24,-705.251798846235,86536.95067913648,0.033291778,0.4665398,0.577052047018,
