gene,N,intercept,slope,min x,max x,R2,
TNFSF15,22,59.5468661633,-62.5982687926,0.264653321,513.2872843,0.804192045071,
RELA,19,-255.589398065,-124.054494039,19.00618,130.3523819,0.705519634302,
ZFP36,22,-191.209255989,-96.3225071618,17.71474642,247.3551454,0.652412809084,
SLFN2,23,-220.470723905,-112.672397367,166.2443105,1174.092182,0.284979054194,
GM12250,22,71.3398586043,-28.5065417747,0.013899912,203.4091487,0.697319390232,
STAT1,25,55.05202965,-32.3846522826,2.834427902,230.5672664,0.242576355741,
BIRC3,25,-207.496955263,-118.155921234,8.675446775,152.8109564,0.650660371651,
1190002H23RIK,22,99.0375264993,-118.623163444,0.185896828,186.5176509,0.278440110701,
ALDH1A2,22,72.2198306772,-124.405284387,0.096423535,155.6422826,0.508052166811,
OASL2,23,68.0456695403,-43.7621378732,0.22487366,271.8561919,0.40402328229,
IL27,19,78.6161459542,-85.6534486391,0.180285109,162.8703529,0.575602635374,
H1F0,26,-311.629707553,-141.584062755,19.53064114,424.481472,0.626511942656,
CCL2,20,-1830.23904714,-846.246835,3.788796701,831.6249405,0.684850327906,
DDX58,24,43.875845961,-32.4458830144,0.132938869,123.5279084,0.749757031034,
GBP5,22,39.4557326995,-34.8131094874,0.769886596,207.0604864,0.433247397786,
CAV1,23,-10.793259833,-108.094762298,0.672974249,406.8434218,0.617745872396,
NMI,22,-45.6385912466,-83.5343218042,5.415643204,131.3692953,0.519942429306,
CCL17,24,-10238.7560799,-2578.90304889,634.665482,11513.80939,0.33521543168,
SLPI,22,-2471.58816937,-763.811343077,26.59191777,413.4308858,0.725218293854,
H2-T23,20,-260.783631996,-126.178819454,130.8300208,799.8494806,0.269664371295,
NFKBIZ,22,71.144587641,-30.3456118551,0.004788669,297.931381,0.514075912292,
DHX58,25,56.4818234236,-32.8237331638,0.24624868,101.9859948,0.418778013323,
THBS1,21,-136.336692497,-129.182943058,9.883688306,271.4779681,0.524433110962,
HERC6,23,66.769218989,-36.4882247411,0.594868334,159.9298028,0.400387792703,
CD86,24,-444.094438616,-213.432893051,13.52820575,517.6581127,0.503828312564,
IGTP,19,48.9238659371,-61.5519257394,1.130385469,125.3435321,0.708447068494,
FABP3,23,114.452656601,-105.382291161,0.091006889,123.3021845,0.704198268163,
AK042010,21,121.974616833,-37.2576299297,6.242138361,142.4083967,0.154250351554,
GBP6,24,0.802682646476,-42.7413576776,5.579511151,170.2810589,0.533208041124,
IL1RN,24,-795.760216134,-282.837077217,73.42574494,2208.966205,0.479958961858,
SERPINB9B,22,-168.908926259,-333.07237038,0.159166482,137.6685886,0.591772216026,
INSIG1,20,-195.882710433,-73.9638961017,29.06110143,149.2858074,0.737418612484,
RTP4,23,183.688258732,-40.1350442834,0.095205795,529.4798984,0.403851934492,
IL1B,24,-201.335426419,-476.873562459,0.059369373,4491.053955,0.50625708367,
IFI204,26,30.0458403399,-78.456781556,28.10958668,1202.955587,0.284021499811,
