gene,N,intercept,slope,min x,max x,R2
CCNL1,28,-5450.35165,264.3165027,34.81023523,184.0811706,0.535693053
AA467197,27,-1671776.234,3139.644161,201.1476364,3578.303099,0.53427779
DNAJB6,27,-17451.60084,441.2188857,67.01925862,225.4325542,0.532213484
EHD1,27,-323.8782228,166.8825337,12.29686862,162.7389206,0.530719784
H3F3B,24,-139123.418,781.9307455,268.9212818,1274.95302,0.521858476
SLC15A3,27,-4901.576499,359.2419493,56.79432339,289.1292096,0.516454866
NFKBIB,25,-1443.09602,320.6164971,19.86549468,159.9869817,0.509725589
JAK2,27,-1369.23758,253.6310566,5.459177294,154.6707127,0.502429757
PLEK,28,2667.307321,487.4209821,61.1543242,1071.466781,0.502135347
RAP1B,28,-36072.6115,514.488181,118.4477858,417.8632517,0.496841985
SLC3A2,26,-54910.63922,608.8237788,76.09824227,349.0980853,0.494727833
PGAP2,27,-297.7377137,466.4369414,14.28351144,195.8478923,0.489084875
ALCAM,26,-2086.696594,165.3054346,28.69187084,119.7824323,0.484295822
UBC,28,-1462994.133,3045.255159,726.1925574,4214.769926,0.459542969
TFG,26,187.2341004,267.1215763,41.08790951,146.0361761,0.451404976
PILRA,26,-2111.351236,299.2867698,14.29728346,165.8429929,0.447702562
PSME1,28,-47356.99266,780.5457347,110.2064625,736.4083473,0.446681404
DAB2,24,2702.628267,175.9219127,1.518552138,197.3769294,0.443663705
AK142678,25,-146991.4271,3920.936523,1.026395658,179.4499045,0.424619508
PNRC1,24,-76.06676118,220.1258893,20.05517702,117.2559217,0.394010621
SKIL,25,2058.801576,97.52393347,9.698979213,171.1574448,0.390730268
SAT1,25,-767952.5351,1861.188629,666.8999118,1516.455888,0.383491986
BCL2A1B,27,23474.25091,1074.015911,684.8350929,3923.566199,0.378938459
GNA13,28,449.7786958,171.17545,34.52747314,154.2450727,0.375112617
NRP2,27,-729.2485563,179.8685808,23.84652867,117.4831685,0.370373875
NAMPT,27,-17201.6268,599.294984,45.33204815,466.7136742,0.368992362
ISG15,25,-729.7066942,348.9535483,0.766321541,318.6852605,0.347081642
FAM102B,28,278.7812325,216.7027224,4.623818839,125.0194896,0.337658397
BCL2A1C,28,5123.316287,140.0078803,26.40796406,257.7483481,0.296010507
BIRC6,27,-24783.82925,715.025456,13.05525465,178.9289942,0.211417324
RGS1,25,498935.9521,497.7616392,281.5950674,1289.356291,0.103249096
