gene,N,intercept,slope,min x,max x,R2,
CD200,14,-4464.86528885,605.6655376013454,12.3853404,259.2097704,0.814477072698,
CD274,13,-4686.422637,311.9399555561924,46.72896955,317.8459238,0.921738164655,
CD40,13,-25208.5399034,1116.4382469270333,0.033418005,826.0514958,0.974688285303,
CD44,13,-12446.4944269,319.53731792769617,110.6128635,360.5744971,0.683991491665,
CD47,14,-54029.5930427,560.8809892083336,154.0389153,390.5545986,0.727285462656,
CD69,11,-47369.863458,1804.4259232189627,5.141685683,397.669499,0.948662230114,
CD83,13,-21938.7092232,989.2942144239476,32.47231073,343.40274,0.706285993751,
CD86,13,-32993.9075255,960.2827208748439,43.172704,348.3862836,0.937320230286,
CDKN1A,13,-82139.1317804,807.0145285460735,78.15019101,566.2313347,0.903930195861,
CFB,13,-2182.22314002,380.6165830809934,7.890587061,113.0260765,0.985841394809,
CFLAR,14,-609.006486965,216.25301381796353,25.16888324,276.128861,0.623276047376,
CISH,12,-2252.71982733,402.48950449645696,0.064270002,153.5461407,0.954801062686,
CLEC4D,14,-109605.807256,1214.9449465038745,59.08861713,341.294657,0.890148767061,
CLEC4E,15,-23012.1418344,1021.1003623221153,8.82164666,831.9437098,0.928292439607,
CLIC4,13,3282.1163242,175.83258238312345,41.70597004,250.7716542,0.752330582814,
CLU,12,-62330.0221417,3451.730085804927,1.183422397,404.0001089,0.935947131359,
CMPK2,12,-8682.0077301,1046.2851865350242,0.024997301,373.5809315,0.9777879989,
CXCL1,14,-354280.182664,4420.5082366709885,8.735316245,1080.860401,0.938363736584,
CXCL10,12,-984121.084521,7943.470438674542,1.460333256,3636.607843,0.955751302981,
CXCL16,13,-31677.9868298,621.4258532018985,83.82533017,686.4469125,0.797695277299,
CXCL2,13,-173611.697229,1832.0409354791343,38.98956804,1074.904366,0.722695231771,
CXCL3,12,-459624.766959,4672.25124200969,11.88162368,2101.580348,0.962309983812,
D14ERTD668E,13,-3338.58432036,378.04283549024717,0.779422531,395.4907269,0.988969627323,
DAB2,13,1082.07269009,238.07794674305745,1.518552138,111.5422388,0.348092688545,
DHX58,13,-306.344260039,211.47121560463034,0.24624868,101.9859948,0.872050042028,
DNAJB6,14,-16838.5558546,450.0553091455566,67.01925862,204.3728421,0.479731094075,
DUSP1,13,-14230.0630995,482.752558217183,44.80558878,198.5412739,0.875406318254,
EBI3,12,-25814.1658582,892.5654579749075,39.8178881,261.5982716,0.927886820842,
EHD1,13,2321.35549123,104.60900875197248,18.4970554,108.5286032,0.441107792436,
EPSTI1,13,-6792.88448773,549.4586928286883,14.32368159,212.5905129,0.94428561216,
ETV3,14,-14232.0179879,472.72970636570244,36.84049544,202.5317825,0.81411867111,
F10,15,-16697.8513757,782.8645598043862,46.76811051,272.4506816,0.6700716507,
FAM102B,13,-1907.74990158,215.89633971176954,4.623818839,101.8116788,0.877976025965,
FAS,14,-11003.1869229,782.3143835690788,33.59264963,232.4357865,0.706293363426,
FNDC3A,12,-6804.0976465,370.8733607106622,24.12376065,104.9737596,0.804674901586,
FOS,11,-8351.50863305,815.6424801729802,11.32847714,108.9820412,0.839749146729,
FPR1,12,-2443.69131725,767.9351594092202,0.054223794,175.3855833,0.825238709021,
FPR2,14,-14042.5920491,740.966259955046,1.225144602,351.7713671,0.853227144426,
GADD45B,13,-4858.02630437,287.5347608265256,28.01168262,278.5570038,0.847558833633,
GBP2,12,-43641.5423803,810.4403737261126,57.66169148,797.1802894,0.987518649892,
GBP3,12,-3592.94716092,417.4295724056946,6.484434105,223.672367,0.985671111485,
GBP5,12,212.348025209,181.1011113383851,4.038334544,170.1487246,0.958352019496,
GBP6,13,-1468.72118813,225.3495156353426,6.101426276,130.7548825,0.927791343112,
GLIPR2,14,-48733.5619689,1317.5675383314704,52.31319494,563.7204713,0.906344646904,
GM12250,12,-76.3087886794,193.76444294081313,0.013899912,155.6284458,0.968231689166,
GM14446,12,-6633.72222146,1653.7603277252974,0.011970413,295.6561487,0.990878411226,
GM4902,11,-5847.66317723,573.8419903029557,3.13489616,369.5006112,0.968826486489,
GM4951,13,1318.68131329,278.43633269145306,0.12097786,193.8870574,0.953487738924,
GTF2B,14,-23591.2204818,614.7913129092937,51.96900076,170.9485222,0.766866237014,
H1F0,13,-17420.7155329,511.3377351670201,23.11989714,371.6087781,0.891022269754,
H2-M2,12,-541268.088262,3257.598216796642,151.8331521,1264.250521,0.814673314094,
H2-Q7,14,-30279.0899716,849.1363564180924,15.62533386,446.232233,0.948992664069,
H2-T10,13,-3665.66400797,551.7747634865025,28.98552712,291.7956372,0.625477994161,
H2-T23,12,-59199.9780262,671.8369408955591,206.0465818,799.8494806,0.851786371557,
H3F3B,13,-909519.430394,1642.7555608641853,831.4394101,1148.942101,0.689475408385,
HCK,13,-1060.6045713,247.0879693079708,8.230226392,101.003026,0.592895567039,
HERC6,13,-2406.9328508,323.21756417798935,6.390885577,207.3247579,0.958382819756,
HK2,14,97.5587922102,257.84070514666814,26.26901028,112.2419519,0.533829605299,
HSPA5,13,-33612.167583,564.8564158221945,123.882337,509.2336476,0.96227430795,
IFI203,11,-1993.59233074,300.564714616584,7.858284383,126.5641416,0.767255899887,
IFI204,13,4956.04758882,466.3434837940441,28.10958668,1202.955587,0.980189508954,
IFI205,13,-30079.7232698,1291.5161868723378,0.09946793,778.0555859,0.963189996228,
IFI27L2A,12,-200622.933389,1744.5324665719236,227.4922717,876.827548,0.948005005759,
