,Gene,Condition,Len,Mean,Var,Std,Noise,Burst Size,Frequency,CV2,CMap
182,4930523C07RIK,LPS_2h,96,15.04204541,1954.260119,44.20701436,2.938896483,129.919839,0.115779434,8.63711254,
193,4930523C07RIK,Unstimulated_Replicate,96,16.25983831,2283.422753,47.78517294,2.938846749,140.4333001,0.115783353,8.636820211,
184,4930523C07RIK,LPS_6h,96,24.61137593,3515.747402,59.2937383,2.409200464,142.8505018,0.172287641,5.804246875,
192,4930523C07RIK,PIC_6h,96,25.86876497,10439.55369,102.1741341,3.949710558,403.5582564,0.064101687,15.60021349,
183,4930523C07RIK,LPS_4h,95,25.98994466,3090.472401,55.59201742,2.138981755,118.910311,0.218567628,4.575242946,
186,4930523C07RIK,PAM_2h,96,30.85479162,10482.19291,102.3825811,3.318206855,339.7265824,0.090822424,11.01049674,
190,4930523C07RIK,PIC_2h,84,36.96204088,8230.998781,90.72485206,2.454541197,222.6878869,0.165981371,6.024772486,
180,4930523C07RIK,Unstimulated,96,47.05925773,16529.60331,128.5675049,2.732034271,351.2508295,0.133976218,7.46401126,
191,4930523C07RIK,PIC_4h,90,50.73725877,9983.940667,99.91967107,1.969354937,196.7772976,0.257841018,3.878358869,
11017,5031414D18RIK,PAM_4h,85,0.026029675,0.029185062,0.170836361,6.563138495,1.121222698,0.023215437,43.0747869,
11018,5031414D18RIK,PAM_6h,64,0.074020861,0.317244435,0.56324456,7.609267888,4.285878745,0.017270871,57.90095779,
11016,5031414D18RIK,PAM_2h,96,0.23301246,4.860090138,2.204561212,9.461130138,20.85764052,0.011171564,89.51298348,
11010,5031414D18RIK,Unstimulated,96,0.238430086,4.580343759,2.140173768,8.976106186,19.210427,0.012411493,80.57048226,
11019,5031414D18RIK,PIC_1h,96,0.510165848,12.13430751,3.483433293,6.828040938,23.78502513,0.021449035,46.62214305,
11023,5031414D18RIK,Unstimulated_Replicate,96,0.535005103,26.7272575,5.169841148,9.663162319,49.95701418,0.010709309,93.376706,
11012,5031414D18RIK,LPS_2h,96,0.740206958,46.25680139,6.801235284,9.188288781,62.49171385,0.011844882,84.42465072,
11015,5031414D18RIK,PAM_1h,96,0.89504135,28.79105114,5.36572932,5.994951316,32.16728605,0.027824584,35.93944128,
11022,5031414D18RIK,PIC_6h,96,2.988569833,308.6919921,17.56963267,5.878943325,103.2908747,0.028933532,34.56197462,
11011,5031414D18RIK,LPS_1h,96,3.18840492,223.7140409,14.95707327,4.691083362,70.16487757,0.045441609,22.00626311,
11014,5031414D18RIK,LPS_6h,96,3.524239737,193.3894663,13.90645412,3.94594442,54.87409505,0.064224107,15.57047737,
11013,5031414D18RIK,LPS_4h,95,4.069318852,424.4652516,20.60255449,5.062900019,104.3086735,0.039012277,25.6329566,
11021,5031414D18RIK,PIC_4h,90,5.642777132,846.2012931,29.08953924,5.155181316,149.9618492,0.037628084,26.5758944,
3215,5730508B09RIK,PAM_1h,96,4.174343246,239.3298163,15.47028818,3.70604123,57.33352582,0.072808068,13.7347416,
3223,5730508B09RIK,Unstimulated_Replicate,96,4.553331685,306.9998297,17.52141061,3.84804179,67.42312023,0.067533684,14.80742562,
3220,5730508B09RIK,PIC_2h,84,4.843064989,666.2971768,25.81273284,5.329834082,137.5775833,0.035202428,28.40713135,
3212,5730508B09RIK,LPS_2h,96,5.80565783,482.8071182,21.97287232,3.7847343,83.16148356,0.06981186,14.32421372,
3211,5730508B09RIK,LPS_1h,96,6.773327632,471.0364362,21.70337384,3.204240961,69.54283947,0.097397916,10.26716014,
3216,5730508B09RIK,PAM_2h,96,10.50320859,1128.870661,33.59867052,3.198895864,107.4786482,0.097723676,10.23293475,
3219,5730508B09RIK,PIC_1h,96,10.5046741,1796.134772,42.38083024,4.03447359,170.9843403,0.061436469,16.27697715,
3210,5730508B09RIK,Unstimulated,96,13.07722578,2270.279906,47.64745435,3.643544521,173.6056212,0.075327202,13.27541667,
3224,5730508B09RIK,LPS_4h_Replicate,96,14.3987356,910.113437,30.1680864,2.09518997,63.20787203,0.227799721,4.389821009,
3214,5730508B09RIK,LPS_6h,96,14.8808856,964.1050976,31.05004183,2.086572174,64.78815329,0.229685287,4.353783438,
3217,5730508B09RIK,PAM_4h,85,15.45471546,1882.480316,43.38755946,2.807399436,121.80621,0.126879536,7.881491594,
3218,5730508B09RIK,PAM_6h,64,20.805087,2508.95198,50.08943981,2.407557335,120.5931982,0.172522889,5.796332322,
3221,5730508B09RIK,PIC_4h,90,26.00295005,3028.825261,55.03476411,2.116481553,116.480063,0.223239492,4.479494166,
10884,6330409N04RIK,PIC_1h,96,0.683027897,19.88236296,4.458964337,6.528231654,29.10915213,0.023464369,42.61780853,
10880,6330409N04RIK,PAM_1h,96,2.256737373,314.1775215,17.7250535,7.854282785,139.2175826,0.016210146,61.68975807,
10875,6330409N04RIK,Unstimulated,96,5.055505855,411.6318716,20.28871291,4.013191457,81.42248933,0.062089797,16.10570567,
10888,6330409N04RIK,Unstimulated_Replicate,96,7.626072783,1310.917549,36.20659538,4.747737979,171.899428,0.044363573,22.54101592,
10876,6330409N04RIK,LPS_1h,96,8.672247747,436.7695731,20.89903283,2.409874976,50.36405623,0.172191209,5.807497398,
